date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:27	273368/273368	---M--	200	added ('OK')	application/octet-stream	etag:%22602a55f6-42bd8%22	https://templates.hibootstrap.com/maxon/default/assets/fonts/boxicons.ttf	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/fonts/boxicons.ttf	(from https://templates.hibootstrap.com/maxon/default/assets/css/boxicons.min.css)
18:06:28	8702/8702	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22602a55f8-21fe%22	https://templates.hibootstrap.com/maxon/default/assets/fonts/Flaticon.eot	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/fonts/Flaticon.eot	(from https://templates.hibootstrap.com/maxon/default/assets/css/flaticon.css)
18:06:29	975365/975365	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22602a55f7-ee205%22	https://templates.hibootstrap.com/maxon/default/assets/fonts/boxicons.svg?	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/fonts/boxiconsd41d.svg	(from https://templates.hibootstrap.com/maxon/default/assets/css/boxicons.min.css)
18:06:31	8702/8702	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22602a55f8-21fe%22	https://templates.hibootstrap.com/maxon/default/assets/fonts/Flaticon.eot?	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/fonts/Flaticond41d.eot	(from https://templates.hibootstrap.com/maxon/default/assets/css/flaticon.css)
18:06:31	4652/4652	---M--	200	added ('OK')	application/octet-stream	etag:%22602a55f8-122c%22	https://templates.hibootstrap.com/maxon/default/assets/fonts/Flaticon.woff2	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/fonts/Flaticon.woff2	(from https://templates.hibootstrap.com/maxon/default/assets/css/flaticon.css)
18:06:32	5724/5724	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22602a55f8-165c%22	https://templates.hibootstrap.com/maxon/default/assets/fonts/Flaticon.woff	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/fonts/Flaticon.woff	(from https://templates.hibootstrap.com/maxon/default/assets/css/flaticon.css)
18:06:33	8524/8524	---M--	200	added ('OK')	application/octet-stream	etag:%22602a55f8-214c%22	https://templates.hibootstrap.com/maxon/default/assets/fonts/Flaticon.ttf	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/fonts/Flaticon.ttf	(from https://templates.hibootstrap.com/maxon/default/assets/css/flaticon.css)
18:06:34	44734/44734	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22602a55f8-aebe%22	https://templates.hibootstrap.com/maxon/default/assets/fonts/Flaticon.svg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/fonts/Flaticon.svg	(from https://templates.hibootstrap.com/maxon/default/assets/css/flaticon.css)
18:06:34	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Jul%202021%2015:06:35%20GMT	https://templates.hibootstrap.com/maxon/default/assets/css/owl.video.play.png	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/css/owl.video.play.png	(from https://templates.hibootstrap.com/maxon/default/assets/css/owl.carousel.min.css)
18:06:35	103256/103256	---M--	200	added ('OK')	image/jpeg	etag:%22602a5618-19360%22	https://templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-bg-1.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-bg-1.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:36	185320/185320	---M--	200	added ('OK')	image/jpeg	etag:%22602a5618-2d3f0%22	https://templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-bg-2.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-bg-2.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:36	168677/168677	---M--	200	added ('OK')	image/jpeg	etag:%22602a5619-292ed%22	https://templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-bg-3.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-bg-3.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:36	129026/129026	---M--	200	added ('OK')	image/jpeg	etag:%22602a5619-1f80a%22	https://templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-bg-4.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-bg-4.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:36	181189/181189	---M--	200	added ('OK')	image/jpeg	etag:%22602a561c-2c3cd%22	https://templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-bg-6.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-bg-6.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:37	64908/64908	---M--	200	added ('OK')	image/jpeg	etag:%22602a55fc-fd94%22	https://templates.hibootstrap.com/maxon/default/assets/img/main-banner1.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/main-banner1.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:37	41305/41305	---M--	200	added ('OK')	image/jpeg	etag:%22602a55fc-a161%22	https://templates.hibootstrap.com/maxon/default/assets/img/main-banner2.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/main-banner2.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:37	41613/41613	---M--	200	added ('OK')	image/jpeg	etag:%22602a55fc-a295%22	https://templates.hibootstrap.com/maxon/default/assets/img/main-banner3.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/main-banner3.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:37	489856/489856	---M--	200	added ('OK')	image/jpeg	etag:%22602a561c-77988%22	https://templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-bg-5.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/main-slider/slider-bg-5.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:37	228227/228227	---M--	200	added ('OK')	image/jpeg	etag:%22602a55fb-37b8b%22	https://templates.hibootstrap.com/maxon/default/assets/img/coming-soon-bg.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/coming-soon-bg.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:38	135849/135849	---M--	200	added ('OK')	image/jpeg	etag:%22602a55fa-22385%22	https://templates.hibootstrap.com/maxon/default/assets/img/coming-soon-bg-2.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/coming-soon-bg-2.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:38	116177/116177	---M--	200	added ('OK')	image/jpeg	etag:%22602a561f-1d2a9%22	https://templates.hibootstrap.com/maxon/default/assets/img/newsletter/newsletter-bg.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/newsletter/newsletter-bg.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:38	104403/104403	---M--	200	added ('OK')	image/jpeg	etag:%22602a561f-1cda3%22	https://templates.hibootstrap.com/maxon/default/assets/img/newsletter/newsletter-bg-2.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/newsletter/newsletter-bg-2.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:39	251655/251655	---M--	200	added ('OK')	image/jpeg	etag:%22602a5638-420da%22	https://templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-1.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/trending-products/trending-products-1.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:39	218799/218799	---M--	200	added ('OK')	image/jpeg	etag:%22602a55fd-356b7%22	https://templates.hibootstrap.com/maxon/default/assets/img/testimonials-bg.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/testimonials-bg.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:40	405030/405030	---M--	200	added ('OK')	image/jpeg	etag:%22602a5627-62e26%22	https://templates.hibootstrap.com/maxon/default/assets/img/page-banner/page-banner-1.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/page-banner/page-banner-1.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:41	154481/154481	---M--	200	added ('OK')	image/jpeg	etag:%22602a5628-25b71%22	https://templates.hibootstrap.com/maxon/default/assets/img/page-banner/page-banner-2.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/page-banner/page-banner-2.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:41	160782/160782	---M--	200	added ('OK')	image/jpeg	etag:%22602a5629-27416%22	https://templates.hibootstrap.com/maxon/default/assets/img/page-banner/page-banner-3.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/page-banner/page-banner-3.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:41	219377/219377	---M--	200	added ('OK')	image/jpeg	etag:%22602a5629-358f9%22	https://templates.hibootstrap.com/maxon/default/assets/img/page-banner/page-banner-4.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/page-banner/page-banner-4.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:42	190819/190819	---M--	200	added ('OK')	image/jpeg	etag:%22602a562a-2e96b%22	https://templates.hibootstrap.com/maxon/default/assets/img/page-banner/page-banner-5.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/page-banner/page-banner-5.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:43	54635/54635	---M--	200	added ('OK')	image/jpeg	etag:%22602a55fd-d56b%22	https://templates.hibootstrap.com/maxon/default/assets/img/story.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/story.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:44	79580/79580	---M--	200	added ('OK')	image/jpeg	etag:%22602a55fc-136dc%22	https://templates.hibootstrap.com/maxon/default/assets/img/mission.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/mission.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:45	81703/81703	---M--	200	added ('OK')	image/jpeg	etag:%22602a55fd-13f27%22	https://templates.hibootstrap.com/maxon/default/assets/img/vision.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/vision.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:46	179126/179126	---M--	200	added ('OK')	image/jpeg	etag:%22602a55fb-2bbbe%22	https://templates.hibootstrap.com/maxon/default/assets/img/footer-bg.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/footer-bg.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:46	159577/159577	---M--	200	added ('OK')	image/jpeg	etag:%22602a55fb-26f59%22	https://templates.hibootstrap.com/maxon/default/assets/img/fun-facts-bg.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/fun-facts-bg.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:46	33590/33590	---M--	200	added ('OK')	image/jpeg	etag:%22602a5616-833e%22	https://templates.hibootstrap.com/maxon/default/assets/img/footer-post/footer-post-1.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/footer-post/footer-post-1.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:47	34344/34344	---M--	200	added ('OK')	image/jpeg	etag:%22602a5616-8630%22	https://templates.hibootstrap.com/maxon/default/assets/img/footer-post/footer-post-2.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/footer-post/footer-post-2.jpg	(from https://templates.hibootstrap.com/maxon/default/assets/css/style.css)
18:06:47	129952/129952	---M--	200	added ('OK')	image/jpeg	etag:%22602a562d-229c8%22	https://templates.hibootstrap.com/maxon/default/assets/img/products/products-7.jpg	C:/My%20Web%20Sites/ptixiaki2021/templates.hibootstrap.com/maxon/default/assets/img/products/products-7.jpg	(from https://templates.hibootstrap.com/maxon/default/index.html)
